VBG,NNS,TO,RBS,DT,XX,VBD,VBN,JJ,WP,CC,EX,PDT,PRP$,CD,WDT,_SP,IN,WP$,RP,NNPS,LS,WRB,JJR,FW,RBR,'',POS,ADD,VB,JJS,UH,VBZ,PRP,NN,VBP,MD,NNP,RB,depression
3,9,4,1,11,0,3,0,9,2,3,0,0,2,0,3,0,23,0,0,0,0,1,0,0,0,0,0,0,10,0,0,8,5,19,4,2,0,11,1
1,10,2,0,6,0,0,4,6,1,2,0,0,2,5,1,1,8,0,1,0,0,0,0,0,0,0,0,0,5,0,2,0,0,11,5,1,0,9,1
3,3,1,0,7,0,0,0,4,0,1,0,0,1,1,1,0,9,0,0,0,0,1,0,0,0,0,0,0,2,0,1,3,2,12,1,0,1,1,1
1,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,1
0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,3,1,1,0,3,1
1,0,3,0,6,0,1,0,3,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,1,0,2,3,7,0,0,0,2,1
2,3,2,0,4,0,0,0,4,0,2,0,0,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,6,6,3,2,0,4,1
0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,1,0,1,0,1
4,4,3,0,4,0,1,0,2,0,2,0,0,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,6,0,2,2,5,6,1,1,0,3,1
2,2,2,0,6,0,1,0,2,1,2,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,2,8,2,0,0,2,1
1,2,0,0,4,0,1,0,1,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,8,1,0,2,4,1
4,4,0,0,3,0,0,0,3,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,1,2,0,2,0,4,1
0,0,0,0,2,0,0,0,3,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,2,2,1,1,4,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,2,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,1,0,5,0,0,0,1,0,2,0,0,3,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,9,2,1,1,6,1
2,4,0,0,5,0,3,3,1,0,2,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,7,2,2,1,3,5,1
0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,2,0,0,1,4,3,1,0,0,3,1
10,10,7,0,23,1,2,4,8,4,3,0,0,2,1,1,0,34,0,0,0,0,4,1,0,0,0,0,0,22,1,0,6,26,22,14,7,0,31,1
2,7,1,0,5,0,0,3,11,1,1,0,0,0,0,1,0,8,0,0,0,0,2,0,0,0,0,0,0,1,0,0,8,3,13,4,0,3,6,1
11,6,4,0,19,0,13,5,11,1,11,1,0,3,2,1,0,30,0,2,0,0,3,2,0,0,0,0,0,11,0,2,3,26,29,8,4,0,15,1
0,0,0,0,4,0,1,1,4,0,0,0,0,0,0,0,0,5,0,1,0,0,1,1,0,0,0,0,0,2,0,0,2,5,3,2,1,1,3,1
1,1,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,1,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,1,2,1
0,3,1,0,3,0,1,0,2,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,3,5,2,1,3,3,1
4,5,4,0,10,0,0,4,2,0,4,0,0,1,2,0,0,7,0,0,0,0,1,0,0,0,0,0,0,5,0,0,4,7,14,4,0,1,7,1
1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,0,0,4,1
0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,1
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,1,0,1,1
0,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,1,1,0,0,0,1
0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,1,0,1
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,1
2,1,1,0,2,0,1,0,0,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,3,5,1,1,0,3,1
3,2,0,0,2,0,0,0,1,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,2,0,2,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,4,3,0,6,0,0,1,1,1,5,0,1,4,0,1,1,7,0,1,0,0,1,2,0,0,0,0,0,4,0,0,3,6,11,7,0,1,5,1
2,0,0,0,2,0,0,1,1,0,1,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,1
4,4,4,0,5,0,2,2,6,4,1,0,0,4,0,1,0,11,0,0,0,0,0,0,0,1,0,0,0,10,0,0,4,9,10,4,2,1,8,1
0,1,2,0,4,0,0,1,3,0,1,0,0,1,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,7,3,4,2,2,7,1
1,3,2,0,7,0,1,3,3,0,4,0,0,0,0,2,1,5,0,2,0,0,1,0,0,0,0,0,0,4,0,0,4,9,7,4,2,1,5,1
3,0,0,0,7,0,0,0,8,1,2,0,0,1,0,1,1,9,0,0,0,0,2,0,0,0,0,0,0,3,0,0,8,6,15,4,2,1,7,1
3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,1,1,2,0,0,2,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,2,2,0,1,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,3,1,1,0,2,1
1,1,0,0,2,0,2,0,1,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,1,0,2,1
0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,2,0,0,2,1
0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
